Disease1,Disease2,HPO-SIM
MESH:D000544,MESH:D002583,0.0
MESH:D000544,MESH:D008881,0.0
MESH:D000544,MESH:D001749,0.0
MESH:D000544,MESH:D005923,0.0
MESH:D000544,MESH:D054990,0.0
MESH:D000544,MESH:D055113,0.0
MESH:D000544,MESH:D065631,0.0
MESH:D000690,MESH:D000740,0.0
MESH:D000690,MESH:D001063,0.0
MESH:D000690,MESH:D001172,0.0
MESH:D000690,MESH:D050197,0.0
MESH:D000690,MESH:D001471,0.0
MESH:D000690,MESH:D001650,0.0
MESH:D000690,MESH:D001859,0.0
MESH:D000690,MESH:D001932,0.0
MESH:D000690,MESH:D002311,0.0
MESH:D000690,MESH:D002446,0.0
MESH:D000690,MESH:D002532,0.0
MESH:D000690,MESH:D002971,0.0
MESH:D000690,MESH:D003093,0.0
MESH:D000690,MESH:D003731,0.0
MESH:D000690,MESH:D003876,0.0
MESH:D000690,MESH:D003922,0.0
MESH:D000690,MESH:D003924,0.0
MESH:D000690,MESH:D004379,0.0
MESH:D000690,MESH:D004827,0.0
MESH:D000690,MESH:D004938,0.0
MESH:D000690,MESH:D005134,0.0
MESH:D000690,MESH:D005185,0.0
MESH:D000690,MESH:D005642,0.0
MESH:D000690,MESH:D005706,0.0
MESH:D000690,MESH:D005879,0.0
MESH:D000690,MESH:D005901,0.0
MESH:D000690,MESH:D005910,0.0
MESH:D000690,MESH:D005922,0.0
MESH:D000690,MESH:D006258,0.0
MESH:D000690,MESH:D006973,0.0
MESH:D000690,MESH:D007037,0.0
MESH:D000690,MESH:D007078,0.0
MESH:D000690,MESH:D007079,0.0
MESH:D000690,MESH:D007562,0.0
MESH:D000690,MESH:D007580,0.0
MESH:D000690,MESH:D051436,0.0
MESH:D000690,MESH:D007680,0.0
MESH:D000690,MESH:D007822,0.0
MESH:D000690,MESH:D007889,0.0
MESH:D000690,MESH:D007918,0.0
MESH:D000690,MESH:D008105,0.0
MESH:D000690,MESH:D008113,0.0
MESH:D000690,MESH:D029424,0.0
MESH:D000690,MESH:D008175,0.0
MESH:D000690,MESH:D008180,0.0
MESH:D000690,MESH:D008268,0.0
MESH:D000690,MESH:D008288,0.0
MESH:D000690,MESH:D008479,0.0
MESH:D000690,MESH:D008545,0.0
MESH:D000690,MESH:D008579,0.0
MESH:D000690,MESH:D009080,0.0
MESH:D000690,MESH:D009103,0.0
MESH:D000690,MESH:D009290,0.0
MESH:D000690,MESH:D009373,0.0
MESH:D000690,MESH:D009383,0.0
MESH:D000690,MESH:D009765,0.0
MESH:D000690,MESH:D053713,0.0
MESH:D000690,MESH:D010001,0.0
MESH:D000690,MESH:D010003,0.0
MESH:D000690,MESH:D010024,0.0
MESH:D000690,MESH:D010040,0.0
MESH:D000690,MESH:D010051,0.0
MESH:D000690,MESH:D010190,0.0
MESH:D000690,MESH:D010195,0.0
MESH:D000690,MESH:D010300,0.0
MESH:D000690,MESH:D010412,0.0
MESH:D000690,MESH:D010610,0.0
MESH:D000690,MESH:D011085,0.0
MESH:D000690,MESH:D011471,0.0
MESH:D000690,MESH:D011565,0.0
MESH:D000690,MESH:D012004,0.0
MESH:D000690,MESH:D012030,0.0
MESH:D000690,MESH:D012186,0.0
MESH:D000690,MESH:D012468,0.0
MESH:D000690,MESH:D045743,0.0
MESH:D000690,MESH:D012878,0.0
MESH:D000690,MESH:D013120,0.0
MESH:D000690,MESH:D013167,0.0
MESH:D000690,MESH:D013274,0.0
MESH:D000690,MESH:D013736,0.0
MESH:D000690,MESH:D013953,0.0
MESH:D000690,MESH:D013964,0.0
MESH:D000690,MESH:D014029,0.0
MESH:D000690,MESH:D014516,0.0
MESH:D000690,MESH:D014594,0.0
MESH:D000690,MESH:D014625,0.0
MESH:D000690,MESH:D014820,0.0
MESH:D000690,MESH:D014846,0.0
MESH:D000690,MESH:D015179,0.0
MESH:D000690,MESH:D015209,0.0
MESH:D000690,MESH:D015210,0.0
MESH:D000690,MESH:D015433,0.0
MESH:D000690,MESH:D015535,0.0
MESH:D000690,MESH:D016535,0.0
MESH:D000690,MESH:D016640,0.0
MESH:D000690,MESH:D017202,0.0
MESH:D000690,MESH:D017544,0.0
MESH:D000690,MESH:D017545,0.0
MESH:D000690,MESH:D018204,0.0
MESH:D000690,MESH:D019042,0.0
MESH:D000690,MESH:D019337,0.0
MESH:D000690,MESH:D019694,0.0
MESH:D000690,MESH:D012148,0.0
MESH:D000690,MESH:D018317,0.0
MESH:D000690,MESH:D001528,0.0
MESH:D000690,MESH:D006111,0.0
MESH:D000690,MESH:D053040,0.0
MESH:D000690,MESH:D002583,0.0
MESH:D000690,MESH:D008881,0.0
MESH:D000690,MESH:D001749,0.0
MESH:D000690,MESH:D005923,0.0
MESH:D000690,MESH:D054990,0.0
MESH:D000690,MESH:D055113,0.0
MESH:D000690,MESH:D065631,0.0
MESH:D000740,MESH:D001063,0.0
MESH:D000740,MESH:D001172,0.0
MESH:D000740,MESH:D050197,0.0
MESH:D000740,MESH:D001471,0.0
MESH:D000740,MESH:D001650,0.0
MESH:D000740,MESH:D001859,0.0
MESH:D000740,MESH:D001932,0.0
MESH:D000740,MESH:D002311,0.0
MESH:D000740,MESH:D002446,0.0
MESH:D000740,MESH:D002532,0.0
MESH:D000740,MESH:D002971,0.0
MESH:D000740,MESH:D003093,0.0
MESH:D000740,MESH:D003731,0.0
MESH:D000740,MESH:D003876,0.0
MESH:D000740,MESH:D003922,0.0
MESH:D000740,MESH:D003924,0.0
MESH:D000740,MESH:D004379,0.0
MESH:D000740,MESH:D004827,0.0
MESH:D000740,MESH:D004938,0.0
MESH:D000740,MESH:D005134,0.0
MESH:D000740,MESH:D005185,0.0
MESH:D000740,MESH:D005642,0.0
MESH:D000740,MESH:D005706,0.0
MESH:D000740,MESH:D005879,0.0
MESH:D000740,MESH:D005901,0.0
MESH:D000740,MESH:D005910,0.0
MESH:D000740,MESH:D005922,0.0
MESH:D000740,MESH:D006258,0.0
MESH:D000740,MESH:D006973,0.0
MESH:D000740,MESH:D007037,0.0
MESH:D000740,MESH:D007078,0.0
MESH:D000740,MESH:D007079,0.0
MESH:D000740,MESH:D007562,0.0
MESH:D000740,MESH:D007580,0.0
MESH:D000740,MESH:D051436,0.0
MESH:D000740,MESH:D007680,0.0
MESH:D000740,MESH:D007822,0.0
MESH:D000740,MESH:D007889,0.0
MESH:D000740,MESH:D007918,0.0
MESH:D000740,MESH:D008105,0.0
MESH:D000740,MESH:D008113,0.0
MESH:D000740,MESH:D029424,0.0
MESH:D000740,MESH:D008175,0.0
MESH:D000740,MESH:D008180,0.0
MESH:D000740,MESH:D008268,0.0
MESH:D000740,MESH:D008288,0.0
MESH:D000740,MESH:D008479,0.0
MESH:D000740,MESH:D008545,0.0
MESH:D000740,MESH:D008579,0.0
MESH:D000740,MESH:D009080,0.0
MESH:D000740,MESH:D009103,0.0
MESH:D000740,MESH:D009290,0.0
MESH:D000740,MESH:D009373,0.0
MESH:D000740,MESH:D009383,0.0
MESH:D000740,MESH:D009765,0.0
MESH:D000740,MESH:D053713,0.0
MESH:D000740,MESH:D010001,0.0
MESH:D000740,MESH:D010003,0.0
MESH:D000740,MESH:D010024,0.0
MESH:D000740,MESH:D010040,0.0
MESH:D000740,MESH:D010051,0.0
MESH:D000740,MESH:D010190,0.0
MESH:D000740,MESH:D010195,0.0
MESH:D000740,MESH:D010300,0.0
MESH:D000740,MESH:D010412,0.0
MESH:D000740,MESH:D010610,0.0
MESH:D000740,MESH:D011085,0.0
MESH:D000740,MESH:D011471,0.0
MESH:D000740,MESH:D011565,0.0
MESH:D000740,MESH:D012004,0.0
MESH:D000740,MESH:D012030,0.0
MESH:D000740,MESH:D012186,0.0
MESH:D000740,MESH:D012468,0.0
MESH:D000740,MESH:D045743,0.0
MESH:D000740,MESH:D012878,0.0
MESH:D000740,MESH:D013120,0.0
MESH:D000740,MESH:D013167,0.0
MESH:D000740,MESH:D013274,0.0
MESH:D000740,MESH:D013736,0.0
MESH:D000740,MESH:D013953,0.0
MESH:D000740,MESH:D013964,0.0
MESH:D000740,MESH:D014029,0.0
MESH:D000740,MESH:D014516,0.0
MESH:D000740,MESH:D014594,0.0
MESH:D000740,MESH:D014625,0.0
MESH:D000740,MESH:D014820,0.0
MESH:D000740,MESH:D014846,0.0
MESH:D000740,MESH:D015179,0.0
MESH:D000740,MESH:D015209,0.0
MESH:D000740,MESH:D015210,0.0
MESH:D000740,MESH:D015433,0.0
MESH:D000740,MESH:D015535,0.0
MESH:D000740,MESH:D016535,0.0
MESH:D000740,MESH:D016640,0.0
MESH:D000740,MESH:D017202,0.0
MESH:D000740,MESH:D017544,0.0
MESH:D000740,MESH:D017545,0.0
MESH:D000740,MESH:D018204,0.0
MESH:D000740,MESH:D019042,0.0
MESH:D000740,MESH:D019337,0.0
MESH:D000740,MESH:D019694,0.0
MESH:D000740,MESH:D012148,0.0
MESH:D000740,MESH:D018317,0.0
MESH:D000740,MESH:D001528,0.0
MESH:D000740,MESH:D006111,0.0
MESH:D000740,MESH:D053040,0.0
MESH:D000740,MESH:D002583,0.0
MESH:D000740,MESH:D008881,0.0
MESH:D000740,MESH:D001749,0.0
MESH:D000740,MESH:D005923,0.0
MESH:D000740,MESH:D054990,0.0
MESH:D000740,MESH:D055113,0.0
MESH:D000740,MESH:D065631,0.0
MESH:D001063,MESH:D001172,0.0
MESH:D001063,MESH:D050197,0.0
MESH:D001063,MESH:D001471,0.0
MESH:D001063,MESH:D001650,0.0
MESH:D001063,MESH:D001859,0.0
MESH:D001063,MESH:D001932,0.0
MESH:D001063,MESH:D002311,0.0
MESH:D001063,MESH:D002446,0.0
MESH:D001063,MESH:D002532,0.0
MESH:D001063,MESH:D002971,0.0
MESH:D001063,MESH:D003093,0.0
MESH:D001063,MESH:D003731,0.0
MESH:D001063,MESH:D003876,0.0
MESH:D001063,MESH:D003922,0.0
MESH:D001063,MESH:D003924,0.0
MESH:D001063,MESH:D004379,0.0
MESH:D001063,MESH:D004827,0.0
MESH:D001063,MESH:D004938,0.0
MESH:D001063,MESH:D005134,0.0
MESH:D001063,MESH:D005185,0.0
MESH:D001063,MESH:D005642,0.0
MESH:D001063,MESH:D005706,0.0
MESH:D001063,MESH:D005879,0.0
MESH:D001063,MESH:D005901,0.0
MESH:D001063,MESH:D005910,0.0
MESH:D001063,MESH:D005922,0.0
MESH:D001063,MESH:D006258,0.0
MESH:D001063,MESH:D006973,0.0
MESH:D001063,MESH:D007037,0.0
MESH:D001063,MESH:D007078,0.0
MESH:D001063,MESH:D007079,0.0
MESH:D001063,MESH:D007562,0.0
MESH:D001063,MESH:D007580,0.0
MESH:D001063,MESH:D051436,0.0
MESH:D001063,MESH:D007680,0.0
MESH:D001063,MESH:D007822,0.0
MESH:D001063,MESH:D007889,0.0
MESH:D001063,MESH:D007918,0.0
MESH:D001063,MESH:D008105,0.0
MESH:D001063,MESH:D008113,0.0
MESH:D001063,MESH:D029424,0.0
MESH:D001063,MESH:D008175,0.0
MESH:D001063,MESH:D008180,0.0
MESH:D001063,MESH:D008268,0.0
MESH:D001063,MESH:D008288,0.0
MESH:D001063,MESH:D008479,0.0
MESH:D001063,MESH:D008545,0.0
MESH:D001063,MESH:D008579,0.0
MESH:D001063,MESH:D009080,0.0
MESH:D001063,MESH:D009103,0.0
MESH:D001063,MESH:D009290,0.0
MESH:D001063,MESH:D009373,0.0
MESH:D001063,MESH:D009383,0.0
MESH:D001063,MESH:D009765,0.0
MESH:D001063,MESH:D053713,0.0
MESH:D001063,MESH:D010001,0.0
MESH:D001063,MESH:D010003,0.0
MESH:D001063,MESH:D010024,0.0
MESH:D001063,MESH:D010040,0.0
MESH:D001063,MESH:D010051,0.0
MESH:D001063,MESH:D010190,0.0
MESH:D001063,MESH:D010195,0.0
MESH:D001063,MESH:D010300,0.0
MESH:D001063,MESH:D010412,0.0
MESH:D001063,MESH:D010610,0.0
MESH:D001063,MESH:D011085,0.0
MESH:D001063,MESH:D011471,0.0
MESH:D001063,MESH:D011565,0.0
MESH:D001063,MESH:D012004,0.0
MESH:D001063,MESH:D012030,0.0
MESH:D001063,MESH:D012186,0.0
MESH:D001063,MESH:D012468,0.0
MESH:D001063,MESH:D045743,0.0
MESH:D001063,MESH:D012878,0.0
MESH:D001063,MESH:D013120,0.0
MESH:D001063,MESH:D013167,0.0
MESH:D001063,MESH:D013274,0.0
MESH:D001063,MESH:D013736,0.0
MESH:D001063,MESH:D013953,0.0
MESH:D001063,MESH:D013964,0.0
MESH:D001063,MESH:D014029,0.0
MESH:D001063,MESH:D014516,0.0
MESH:D001063,MESH:D014594,0.0
MESH:D001063,MESH:D014625,0.0
MESH:D001063,MESH:D014820,0.0
MESH:D001063,MESH:D014846,0.0
MESH:D001063,MESH:D015179,0.0
MESH:D001063,MESH:D015209,0.0
MESH:D001063,MESH:D015210,0.0
MESH:D001063,MESH:D015433,0.0
MESH:D001063,MESH:D015535,0.0
MESH:D001063,MESH:D016535,0.0
MESH:D001063,MESH:D016640,0.0
MESH:D001063,MESH:D017202,0.0
MESH:D001063,MESH:D017544,0.0
MESH:D001063,MESH:D017545,0.0
MESH:D001063,MESH:D018204,0.0
MESH:D001063,MESH:D019042,0.0
MESH:D001063,MESH:D019337,0.0
MESH:D001063,MESH:D019694,0.0
MESH:D001063,MESH:D012148,0.0
MESH:D001063,MESH:D018317,0.0
MESH:D001063,MESH:D001528,0.0
MESH:D001063,MESH:D006111,0.0
MESH:D001063,MESH:D053040,0.0
MESH:D001063,MESH:D002583,0.0
MESH:D001063,MESH:D008881,0.0
MESH:D001063,MESH:D001749,0.0
MESH:D001063,MESH:D005923,0.0
MESH:D001063,MESH:D054990,0.0
MESH:D001063,MESH:D055113,0.0
MESH:D001063,MESH:D065631,0.0
MESH:D001172,MESH:D050197,0.0
MESH:D001172,MESH:D001471,0.0
MESH:D001172,MESH:D001650,0.0
MESH:D001172,MESH:D001859,0.0
MESH:D001172,MESH:D001932,0.0
MESH:D001172,MESH:D002311,0.0
MESH:D001172,MESH:D002446,0.0
MESH:D001172,MESH:D002532,0.0
MESH:D001172,MESH:D002971,0.0
MESH:D001172,MESH:D003093,0.0
MESH:D001172,MESH:D003731,0.0
MESH:D001172,MESH:D003876,0.0
MESH:D001172,MESH:D003922,0.0
MESH:D001172,MESH:D003924,0.0
MESH:D001172,MESH:D004379,0.0
MESH:D001172,MESH:D004827,0.0
MESH:D001172,MESH:D004938,0.0
MESH:D001172,MESH:D005134,0.0
MESH:D001172,MESH:D005185,0.0
MESH:D001172,MESH:D005642,0.0
MESH:D001172,MESH:D005706,0.0
MESH:D001172,MESH:D005879,0.0
MESH:D001172,MESH:D005901,0.0
MESH:D001172,MESH:D005910,0.0
MESH:D001172,MESH:D005922,0.0
MESH:D001172,MESH:D006258,0.0
MESH:D001172,MESH:D006973,0.0
MESH:D001172,MESH:D007037,0.0
MESH:D001172,MESH:D007078,0.0
MESH:D001172,MESH:D007079,0.0
MESH:D001172,MESH:D007562,0.0
MESH:D001172,MESH:D007580,0.0
MESH:D001172,MESH:D051436,0.0
MESH:D001172,MESH:D007680,0.0
MESH:D001172,MESH:D007822,0.0
MESH:D001172,MESH:D007889,0.0
MESH:D001172,MESH:D007918,0.0
MESH:D001172,MESH:D008105,0.0
MESH:D001172,MESH:D008113,0.0
MESH:D001172,MESH:D029424,0.0
MESH:D001172,MESH:D008175,0.0
MESH:D001172,MESH:D008180,0.0
MESH:D001172,MESH:D008268,0.0
MESH:D001172,MESH:D008288,0.0
MESH:D001172,MESH:D008479,0.0
MESH:D001172,MESH:D008545,0.0
MESH:D001172,MESH:D008579,0.0
MESH:D001172,MESH:D009080,0.0
MESH:D001172,MESH:D009103,0.0
MESH:D001172,MESH:D009290,0.0
MESH:D001172,MESH:D009373,0.0
MESH:D001172,MESH:D009383,0.0
MESH:D001172,MESH:D009765,0.0
MESH:D001172,MESH:D053713,0.0
MESH:D001172,MESH:D010001,0.0
MESH:D001172,MESH:D010003,0.0
MESH:D001172,MESH:D010024,0.0
MESH:D001172,MESH:D010040,0.0
MESH:D001172,MESH:D010051,0.0
MESH:D001172,MESH:D010190,0.0
MESH:D001172,MESH:D010195,0.0
MESH:D001172,MESH:D010300,0.0
MESH:D001172,MESH:D010412,0.0
MESH:D001172,MESH:D010610,0.0
MESH:D001172,MESH:D011085,0.0
MESH:D001172,MESH:D011471,0.0
MESH:D001172,MESH:D011565,0.0
MESH:D001172,MESH:D012004,0.0
MESH:D001172,MESH:D012030,0.0
MESH:D001172,MESH:D012186,0.0
MESH:D001172,MESH:D012468,0.0
MESH:D001172,MESH:D045743,0.0
MESH:D001172,MESH:D012878,0.0
MESH:D001172,MESH:D013120,0.0
MESH:D001172,MESH:D013167,0.0
MESH:D001172,MESH:D013274,0.0
MESH:D001172,MESH:D013736,0.0
MESH:D001172,MESH:D013953,0.0
MESH:D001172,MESH:D013964,0.0
MESH:D001172,MESH:D014029,0.0
MESH:D001172,MESH:D014516,0.0
MESH:D001172,MESH:D014594,0.0
MESH:D001172,MESH:D014625,0.0
MESH:D001172,MESH:D014820,0.0
MESH:D001172,MESH:D014846,0.0
MESH:D001172,MESH:D015179,0.0
MESH:D001172,MESH:D015209,0.0
MESH:D001172,MESH:D015210,0.0
MESH:D001172,MESH:D015433,0.0
MESH:D001172,MESH:D015535,0.0
MESH:D001172,MESH:D016535,0.0
MESH:D001172,MESH:D016640,0.0
MESH:D001172,MESH:D017202,0.0
MESH:D001172,MESH:D017544,0.0
MESH:D001172,MESH:D017545,0.0
MESH:D001172,MESH:D018204,0.0
MESH:D001172,MESH:D019042,0.0
MESH:D001172,MESH:D019337,0.0
MESH:D001172,MESH:D019694,0.0
MESH:D001172,MESH:D012148,0.0
MESH:D001172,MESH:D018317,0.0
MESH:D001172,MESH:D001528,0.0
MESH:D001172,MESH:D006111,0.0
MESH:D001172,MESH:D053040,0.0
MESH:D001172,MESH:D002583,0.0
MESH:D001172,MESH:D008881,0.0
MESH:D001172,MESH:D001749,0.0
MESH:D001172,MESH:D005923,0.0
MESH:D001172,MESH:D054990,0.0
MESH:D001172,MESH:D055113,0.0
MESH:D001172,MESH:D065631,0.0
MESH:D050197,MESH:D001471,0.0
MESH:D050197,MESH:D001650,0.0
MESH:D050197,MESH:D001859,0.0
MESH:D050197,MESH:D001932,0.0
MESH:D050197,MESH:D002311,0.0
MESH:D050197,MESH:D002446,0.0
MESH:D050197,MESH:D002532,0.0
MESH:D050197,MESH:D002971,0.0
MESH:D050197,MESH:D003093,0.0
MESH:D050197,MESH:D003731,0.0
MESH:D050197,MESH:D003876,0.0
MESH:D050197,MESH:D003922,0.0
MESH:D050197,MESH:D003924,0.0
MESH:D050197,MESH:D004379,0.0
MESH:D050197,MESH:D004827,0.0
MESH:D050197,MESH:D004938,0.0
MESH:D050197,MESH:D005134,0.0
MESH:D050197,MESH:D005185,0.0
MESH:D050197,MESH:D005642,0.0
MESH:D050197,MESH:D005706,0.0
MESH:D050197,MESH:D005879,0.0
MESH:D050197,MESH:D005901,0.0
MESH:D050197,MESH:D005910,0.0
MESH:D050197,MESH:D005922,0.0
MESH:D050197,MESH:D006258,0.0
MESH:D050197,MESH:D006973,0.0
MESH:D050197,MESH:D007037,0.0
MESH:D050197,MESH:D007078,0.0
MESH:D050197,MESH:D007079,0.0
MESH:D050197,MESH:D007562,0.0
MESH:D050197,MESH:D007580,0.0
MESH:D050197,MESH:D051436,0.0
MESH:D050197,MESH:D007680,0.0
MESH:D050197,MESH:D007822,0.0
MESH:D050197,MESH:D007889,0.0
MESH:D050197,MESH:D007918,0.0
MESH:D050197,MESH:D008105,0.0
MESH:D050197,MESH:D008113,0.0
MESH:D050197,MESH:D029424,0.0
MESH:D050197,MESH:D008175,0.0
MESH:D050197,MESH:D008180,0.0
MESH:D050197,MESH:D008268,0.0
MESH:D050197,MESH:D008288,0.0
MESH:D050197,MESH:D008479,0.0
MESH:D050197,MESH:D008545,0.0
MESH:D050197,MESH:D008579,0.0
MESH:D050197,MESH:D009080,0.0
MESH:D050197,MESH:D009103,0.0
MESH:D050197,MESH:D009290,0.0
MESH:D050197,MESH:D009373,0.0
MESH:D050197,MESH:D009383,0.0
MESH:D050197,MESH:D009765,0.0
MESH:D050197,MESH:D053713,0.0
MESH:D050197,MESH:D010001,0.0
MESH:D050197,MESH:D010003,0.0
MESH:D050197,MESH:D010024,0.0
MESH:D050197,MESH:D010040,0.0
MESH:D050197,MESH:D010051,0.0
MESH:D050197,MESH:D010190,0.0
MESH:D050197,MESH:D010195,0.0
MESH:D050197,MESH:D010300,0.0
MESH:D050197,MESH:D010412,0.0
MESH:D050197,MESH:D010610,0.0
MESH:D050197,MESH:D011085,0.0
MESH:D050197,MESH:D011471,0.0
MESH:D050197,MESH:D011565,0.0
MESH:D050197,MESH:D012004,0.0
MESH:D050197,MESH:D012030,0.0
MESH:D050197,MESH:D012186,0.0
MESH:D050197,MESH:D012468,0.0
MESH:D050197,MESH:D045743,0.0
MESH:D050197,MESH:D012878,0.0
MESH:D050197,MESH:D013120,0.0
MESH:D050197,MESH:D013167,0.0
MESH:D050197,MESH:D013274,0.0
MESH:D050197,MESH:D013736,0.0
MESH:D050197,MESH:D013953,0.0
MESH:D050197,MESH:D013964,0.0
MESH:D050197,MESH:D014029,0.0
MESH:D050197,MESH:D014516,0.0
MESH:D050197,MESH:D014594,0.0
MESH:D050197,MESH:D014625,0.0
MESH:D050197,MESH:D014820,0.0
MESH:D050197,MESH:D014846,0.0
MESH:D050197,MESH:D015179,0.0
MESH:D050197,MESH:D015209,0.0
MESH:D050197,MESH:D015210,0.0
MESH:D050197,MESH:D015433,0.0
MESH:D050197,MESH:D015535,0.0
MESH:D050197,MESH:D016535,0.0
MESH:D050197,MESH:D016640,0.0
MESH:D050197,MESH:D017202,0.0
MESH:D050197,MESH:D017544,0.0
MESH:D050197,MESH:D017545,0.0
MESH:D050197,MESH:D018204,0.0
MESH:D050197,MESH:D019042,0.0
MESH:D050197,MESH:D019337,0.0
MESH:D050197,MESH:D019694,0.0
MESH:D050197,MESH:D012148,0.0
MESH:D050197,MESH:D018317,0.0
MESH:D050197,MESH:D001528,0.0
MESH:D050197,MESH:D006111,0.0
MESH:D050197,MESH:D053040,0.0
MESH:D050197,MESH:D002583,0.0
MESH:D050197,MESH:D008881,0.0
MESH:D050197,MESH:D001749,0.0
MESH:D050197,MESH:D005923,0.0
MESH:D050197,MESH:D054990,0.0
MESH:D050197,MESH:D055113,0.0
MESH:D050197,MESH:D065631,0.0
MESH:D001471,MESH:D001650,0.0
MESH:D001471,MESH:D001859,0.0
MESH:D001471,MESH:D001932,0.0
MESH:D001471,MESH:D002311,0.0
MESH:D001471,MESH:D002446,0.0
MESH:D001471,MESH:D002532,0.0
MESH:D001471,MESH:D002971,0.0
MESH:D001471,MESH:D003093,0.0
MESH:D001471,MESH:D003731,0.0
MESH:D001471,MESH:D003876,0.0
MESH:D001471,MESH:D003922,0.0
MESH:D001471,MESH:D003924,0.0
MESH:D001471,MESH:D004379,0.0
MESH:D001471,MESH:D004827,0.0
MESH:D001471,MESH:D004938,0.0
MESH:D001471,MESH:D005134,0.0
MESH:D001471,MESH:D005185,0.0
MESH:D001471,MESH:D005642,0.0
MESH:D001471,MESH:D005706,0.0
MESH:D001471,MESH:D005879,0.0
MESH:D001471,MESH:D005901,0.0
MESH:D001471,MESH:D005910,0.0
MESH:D001471,MESH:D005922,0.0
MESH:D001471,MESH:D006258,0.0
MESH:D001471,MESH:D006973,0.0
MESH:D001471,MESH:D007037,0.0
MESH:D001471,MESH:D007078,0.0
MESH:D001471,MESH:D007079,0.0
MESH:D001471,MESH:D007562,0.0
MESH:D001471,MESH:D007580,0.0
MESH:D001471,MESH:D051436,0.0
MESH:D001471,MESH:D007680,0.0
MESH:D001471,MESH:D007822,0.0
MESH:D001471,MESH:D007889,0.0
MESH:D001471,MESH:D007918,0.0
MESH:D001471,MESH:D008105,0.0
MESH:D001471,MESH:D008113,0.0
MESH:D001471,MESH:D029424,0.0
MESH:D001471,MESH:D008175,0.0
MESH:D001471,MESH:D008180,0.0
MESH:D001471,MESH:D008268,0.0
MESH:D001471,MESH:D008288,0.0
MESH:D001471,MESH:D008479,0.0
MESH:D001471,MESH:D008545,0.0
MESH:D001471,MESH:D008579,0.0
MESH:D001471,MESH:D009080,0.0
MESH:D001471,MESH:D009103,0.0
MESH:D001471,MESH:D009290,0.0
MESH:D001471,MESH:D009373,0.0
MESH:D001471,MESH:D009383,0.0
MESH:D001471,MESH:D009765,0.0
MESH:D001471,MESH:D053713,0.0
MESH:D001471,MESH:D010001,0.0
MESH:D001471,MESH:D010003,0.0
MESH:D001471,MESH:D010024,0.0
MESH:D001471,MESH:D010040,0.0
MESH:D001471,MESH:D010051,0.0
MESH:D001471,MESH:D010190,0.0
MESH:D001471,MESH:D010195,0.0
MESH:D001471,MESH:D010300,0.0
MESH:D001471,MESH:D010412,0.0
MESH:D001471,MESH:D010610,0.0
MESH:D001471,MESH:D011085,0.0
MESH:D001471,MESH:D011471,0.0
MESH:D001471,MESH:D011565,0.0
MESH:D001471,MESH:D012004,0.0
MESH:D001471,MESH:D012030,0.0
MESH:D001471,MESH:D012186,0.0
MESH:D001471,MESH:D012468,0.0
MESH:D001471,MESH:D045743,0.0
MESH:D001471,MESH:D012878,0.0
MESH:D001471,MESH:D013120,0.0
MESH:D001471,MESH:D013167,0.0
MESH:D001471,MESH:D013274,0.0
MESH:D001471,MESH:D013736,0.0
MESH:D001471,MESH:D013953,0.0
MESH:D001471,MESH:D013964,0.0
MESH:D001471,MESH:D014029,0.0
MESH:D001471,MESH:D014516,0.0
MESH:D001471,MESH:D014594,0.0
MESH:D001471,MESH:D014625,0.0
MESH:D001471,MESH:D014820,0.0
MESH:D001471,MESH:D014846,0.0
MESH:D001471,MESH:D015179,0.0
MESH:D001471,MESH:D015209,0.0
MESH:D001471,MESH:D015210,0.0
MESH:D001471,MESH:D015433,0.0
MESH:D001471,MESH:D015535,0.0
MESH:D001471,MESH:D016535,0.0
MESH:D001471,MESH:D016640,0.0
MESH:D001471,MESH:D017202,0.0
MESH:D001471,MESH:D017544,0.0
MESH:D001471,MESH:D017545,0.0
MESH:D001471,MESH:D018204,0.0
MESH:D001471,MESH:D019042,0.0
MESH:D001471,MESH:D019337,0.0
MESH:D001471,MESH:D019694,0.0
MESH:D001471,MESH:D012148,0.0
MESH:D001471,MESH:D018317,0.0
MESH:D001471,MESH:D001528,0.0
MESH:D001471,MESH:D006111,0.0
MESH:D001471,MESH:D053040,0.0
MESH:D001471,MESH:D002583,0.0
MESH:D001471,MESH:D008881,0.0
MESH:D001471,MESH:D001749,0.0
MESH:D001471,MESH:D005923,0.0
MESH:D001471,MESH:D054990,0.0
MESH:D001471,MESH:D055113,0.0
MESH:D001471,MESH:D065631,0.0
MESH:D001650,MESH:D001859,0.0
MESH:D001650,MESH:D001932,0.0
MESH:D001650,MESH:D002311,0.0
MESH:D001650,MESH:D002446,0.0
MESH:D001650,MESH:D002532,0.0
MESH:D001650,MESH:D002971,0.0
MESH:D001650,MESH:D003093,0.0
MESH:D001650,MESH:D003731,0.0
MESH:D001650,MESH:D003876,0.0
MESH:D001650,MESH:D003922,0.0
MESH:D001650,MESH:D003924,0.0
MESH:D001650,MESH:D004379,0.0
MESH:D001650,MESH:D004827,0.0
MESH:D001650,MESH:D004938,0.0
MESH:D001650,MESH:D005134,0.0
MESH:D001650,MESH:D005185,0.0
MESH:D001650,MESH:D005642,0.0
MESH:D001650,MESH:D005706,0.0
MESH:D001650,MESH:D005879,0.0
MESH:D001650,MESH:D005901,0.0
MESH:D001650,MESH:D005910,0.0
MESH:D001650,MESH:D005922,0.0
MESH:D001650,MESH:D006258,0.0
